Stage Name,Date of Birth,Group,Debut,Company,Country,Height,Weight,Gender
Leeteuk,1983-01-07,Super Junior,2005-06-11,SM,South Korea,179.0,59.0,M
Leo,1990-10-11,VIXX,2012-05-24,Jellyfish,South Korea,183.0,63.0,M
Lew,2001-05-04,TEMPEST,2022-02-03,Yuehua,South Korea,170.0,55.0,M
Lim Jimin,2001-05-22,JUST B,2021-06-30,Bluedot,South Korea,178.0,59.0,M
Lime,1993-01-19,Hello Venus,2012-09-05,Fantagio,South Korea,169.0,50.0,F
Lisa,1997-03-27,BLACKPINK,2016-08-08,YG,Thailand,170.0,46.0,F
Liyah,2000-11-05,MIXX,2016-02-05,Chiko,South Korea,175.0,52.0,F
Liz,2004-11-21,IVE,2021-01-12,Starship,South Korea,170.0,49.0,F
Lou,1996-12-21,VAV,2015-10-31,A team,South Korea,187.0,69.0,M
Louis,1999-04-23,BLANK2Y,2022-05-24,Keystone,South Korea,172.0,62.0,M
Lune,2000-02-27,DKB,2020-03-02,Brave,South Korea,176.0,55.0,M
Manny,2001-11-17,VARSITY,2017-05-01,GKC,China,170.0,64.0,M
Mark,1993-04-09,GOT7,2014-01-16,JYP,USA,175.0,59.0,M
Mayna,2000-12-05,HOT ISSUE,2017-05-17,FNC,China,170.0,47.0,F
Mijoo,1994-09-23,Lovelyz,2014-11-17,Woollim,South Korea,167.0,47.0,F
Mikey,2001-05-05,BLANK2Y,2022-05-24,Keystone,Japan,176.0,58.0,M
Mimi,1995-01-05,Oh My Girl,2015-04-21,WM,South Korea,163.0,50.0,F
Min,1997-10-16,We In The Zone,2019-05-27,Choon,South Korea,171.0,50.0,M
Mina,1999-04-12,Gugudan,2016-06-28,Jellyfish,South Korea,162.0,48.0,F
Minah,1993-05-13,Girl's Day,2010-09-07,DreamT,South Korea,165.0,47.0,F
Mingyu,1997-06-04,Seventeen,2015-05-26,Pledis,South Korea,185.0,65.0,M
Minhee,2002-09-17,CRAVITY,2020-04-14,Starship,South Korea,185.0,58.0,M
Minho,2002-10-14,8TURN,2023-01-30,MNH,South Korea,179.0,59.0,M
Minho,1991-09-12,SHINee,2008-05-25,SM,South Korea,181.0,60.0,M
Minhyuk,1990-11-29,BtoB,2012-03-21,Cube,South Korea,173.0,61.0,M
Mini,2000-12-06,Purplebeck,2019-06-24,Majesty,South Korea,168.0,47.0,F
Minpyo,1994-11-15,B.I.G,2014-09-07,GH,South Korea,173.0,57.0,M
Minseo,2002-05-13,DRIPPIN,2020-10-26,Woollim,South Korea,177.0,53.0,M
Minseo,2003-03-21,Saturday,2018-07-18,SD,South Korea,163.0,45.0,F
Minsu,1993-04-15,Boys Republic,2013-03-06,Happy Tribe,South Korea,172.0,55.0,M
Mint,1994-06-23,Tiny-G,2012-08-23,GNG,Thailand,150.0,42.0,F
Minwoo,1995-07-31,Boyfriend,2011-05-26,Starship,South Korea,174.0,60.0,M
Minwoo,1979-07-28,Shinhwa,1998-03-24,SM,South Korea,172.0,60.0,M
Miso,2000-10-25,Dreamnote,2018-07-11,iME,South Korea,160.0,43.0,F
MiU,2003-09-01,LIMELIGHT,2023-02-17,143,Japan,164.0,42.0,F
Moon Sua,1999-09-09,Billlie,2021-10-11,MYSTIC,South Korea,167.0,47.0,F
Moonbyul,1992-12-22,Mamamoo,2014-06-18,RBW,South Korea,165.0,45.0,F
Moonvok,1995-11-04,Limitless,2019-09-07,ONO,South Korea,168.0,48.0,M
Mu,2003-09-14,EPEX,2021-08-06,C9,South Korea,184.0,63.0,M
Munik,2001-03-20,Dongkiz,2019-04-24,Dongyo,South Korea,173.0,50.0,M
Myungho,2001-12-10,8TURN,2023-01-30,MNH,South Korea,177.0,62.0,M
N,1990-06-30,VIXX,2012-05-24,Jellyfish,South Korea,180.0,65.0,M
Nakyung,2000-01-06,fromis_9,2018-01-24,Off The Record,South Korea,159.0,42.0,F
Nancy,2000-04-13,MOMOLAND,2016-09-11,Double Kick,South Korea,162.0,45.0,F
Nara,1991-03-13,Hello Venus,2012-09-05,Fantagio,South Korea,172.0,52.0,F
Narachan,1996-09-23,MONT,2014-05-14,Starship,South Korea,178.0,58.0,M
Nayoung,1995-11-23,Gugudan,2016-06-28,Jellyfish,South Korea,169.0,50.0,F
Nayoung,2002-11-30,LIGHTSUM,2021-10-06,Cube,South Korea,154.0,43.0,F
Nayoung,1995-12-18,Pristin,2017-03-21,Pledis,South Korea,171.0,51.0,F
Nayun,1998-07-31,MOMOLAND,2016-09-11,Double Kick,South Korea,167.0,48.0,F
New,1998-04-26,The Boyz,2017-12-31,Cre.Ker,South Korea,175.0,51.0,M
Nichkhun,1988-06-24,2PM,2008-04-07,JYP,Thailand,180.0,64.0,M
Nina,2003-03-15,IRRIS,2022-06-07,Mellow,Australia,174.0,51.0,F
Ningning,2002-10-23,aespa,2020-11-17,SM,China,165.0,43.0,F
Noeul,1989-10-05,Rainbow,2009-12-11,DSP,South Korea,164.0,44.0,F
Onejunn,1988-11-22,Boys Republic,2013-03-06,Happy Tribe,South Korea,179.0,61.0,M
Onew,1989-12-14,SHINee,2008-05-25,SM,South Korea,177.0,61.0,M
P.O,1993-02-02,Block B,2011-04-15,KQ,South Korea,181.0,64.0,M
Park Kyung,1992-08-07,Block B,2011-04-15,KQ,South Korea,176.0,56.0,M
Peniel,1993-10-03,BtoB,2012-03-21,Cube,South Korea,175.0,63.0,M
Q,1998-05-11,The Boyz,2017-12-31,Cre.Ker,South Korea,175.0,56.0,M
Qri,1986-12-12,T-ara,2009-07-29,MBK,South Korea,162.0,44.0,F
Rano,1998-10-12,E'LAST,2020-09-06,E Entertainment,South Korea,175.0,60.0,M
Ravi,1993-02-15,VIXX,2012-05-24,Jellyfish,South Korea,183.0,65.0,M
Rayeon,2001-11-24,FANATICS,2019-06-08,FENT,South Korea,167.0,45.0,F
Rei,2004-03-02,IVE,2021-01-12,Starship,Japan,169.0,47.0,F
Rena,1998-10-19,Hinapia,2019-03-11,Alseulbit,South Korea,162.0,49.0,F
Riho,1998-01-03,VARSITY,2017-05-01,GKC,South Korea,178.0,59.0,M
Riina,2001-02-21,H1-KEY,2022-05-01,GLG,South Korea,172.0,55.0,F
RM,1994-12-09,BTS,2013-06-13,Big Hit,South Korea,181.0,67.0,M
Roa,1997-07-29,Hinapia,2019-03-11,Alseulbit,South Korea,172.0,49.0,F
Roda,1998-09-19,MONT,2014-05-14,Starship,South Korea,179.0,60.0,M
Romin,2001-04-24,E'LAST,2020-09-06,E Entertainment,South Korea,179.0,58.0,M
Ron,1991-01-22,Bigflo,2014-07-19,HO,South Korea,183.0,62.0,M
Rui,2000-07-03,7 O'clock,2014-08-26,Jungle,South Korea,178.0,63.0,M
Ryeowook,1987-06-21,Super Junior,2005-06-11,SM,South Korea,175.0,58.0,M
Ryujei,1997-08-11,JWiiver,2022-02-17,JTG,South Korea,175.0,54.0,M
S.Coups,1995-08-08,Seventeen,2015-05-26,Pledis,South Korea,177.0,63.0,M
Saena,2004-12-03,FIFTY FIFTY,2022-11-18,ATTRAKT,South Korea,160.0,42.0,F
Sandeul,1992-03-20,B1A4,2010-04-19,WM,South Korea,178.0,62.0,M
Sangmin,1992-07-07,CROSS GENE,2012-08-07,Amuse,South Korea,178.0,67.0,M
Sangyeon,1996-04-11,The Boyz,2017-12-31,Cre.Ker,South Korea,176.0,61.0,M
Seea,1994-08-21,Pink Fantasy,2018-10-28,My Doll,South Korea,160.0,43.0,F
Seeun,2003-06-14,STAYC,2020-12-11,Hi-Up,South Korea,167.0,49.0,F
Sehun,1994-12-04,EXO,2012-08-04,SM,South Korea,181.0,63.0,M
Sejeong,1996-08-28,Gugudan,2016-06-28,Jellyfish,South Korea,164.0,48.0,F
Semi,2002-10-04,Cignature,2020-04-02,C9,South Korea,166.0,46.0,F
Seoham,1993-10-28,KNK,2016-03-03,YNB,South Korea,190.0,70.0,M
Seohyun,1991-06-28,SNSD,2021-04-08,Good Luck,South Korea,168.0,48.0,F
Seokhwa,2000-01-12,WEi,2020-05-10,OUI,South Korea,172.0,56.0,M
Seolhyun,1995-03-01,AoA,2012-07-30,FNC,South Korea,167.0,47.0,F
Seongsoo,1999-07-04,ABLUE,2022-10-23,J-Star,South Korea,180.0,65.0,M
Seoyoung,1994-06-27,Hello Venus,2012-09-05,Fantagio,South Korea,164.0,50.0,F
Seungah,1988-09-13,Rainbow,2009-12-11,DSP,South Korea,167.0,45.0,F
Seunghee,1996-01-25,Oh My Girl,2015-04-21,WM,South Korea,160.0,48.0,F
Seungheon,2007-05-15,8TURN,2023-01-30,MNH,South Korea,171.0,51.0,M
Seunghun,1999-02-26,CIX,2019-07-23,C9,South Korea,181.0,69.0,M
Seunghwan,2000-05-20,1the9,2019-09-02,MBK,South Korea,178.0,64.0,M
Seungkwan,1998-01-16,Seventeen,2015-05-26,Pledis,South Korea,172.0,58.0,M
Seungyeop,1997-08-05,E'LAST,2020-09-06,E Entertainment,South Korea,176.0,60.0,M
Seungyoon,1996-05-08,UNIQ,2014-10-20,Yuehua,South Korea,183.0,68.0,M
Seyeon,2001-06-05,Purplebeck,2019-06-24,Majesty,South Korea,167.0,46.0,F
Seyoung,1999-03-02,ARTBEAT,2022-11-16,AB Creative,South Korea,166.0,50.0,F
Seyoung,1990-08-02,CROSS GENE,2012-08-07,Amuse,South Korea,180.0,60.0,M
Shin,1991-10-23,CROSS GENE,2012-08-07,Amuse,South Korea,185.0,66.0,M
Shin Hyesung,1979-11-27,Shinhwa,1998-03-24,SM,South Korea,179.0,65.0,M
Shindong,1985-09-28,Super Junior,2005-06-11,SM,South Korea,178.0,90.0,M
Shinye,2004-07-03,MAJORS,2021-09-03,ANS,South Korea,166.0,46.0,F
Shita,1998-01-10,JWiiver,2022-02-17,JTG,Macau,183.0,63.0,M
Shuhua,2000-06-01,(G)I-DLE,2018-02-05,Cube,Taiwan,161.0,45.0,F
Sieun,2001-05-29,ARTBEAT,2022-11-16,AB Creative,South Korea,160.0,50.0,F
Sieun,2001-01-08,STAYC,2020-12-11,Hi-Up,South Korea,160.0,44.0,F
Sihyeon,1999-05-08,Everglow,2019-03-18,Yuehua,South Korea,168.0,51.0,F
Sihyoung,1992-05-15,HISTORY,2013-04-26,LOEN,South Korea,182.0,63.0,M
Sio,2004-06-10,FIFTY FIFTY,2022-11-18,ATTRAKT,South Korea,165.0,45.0,F
Siwon,1986-07-04,Super Junior,2005-06-11,SM,South Korea,185.0,65.0,M
Siwoo,2001-05-02,BLANK2Y,2022-05-24,Keystone,South Korea,174.0,54.0,M
Siyoung,2003-06-05,Mirae,2021-03-17,DSP,South Korea,172.0,55.0,M
Sohee,1995-01-20,Nature,2018-03-08,n.CH,South Korea,162.0,41.0,F
Sohee,2003-08-14,Rocket Punch,2019-07-08,Woollim,South Korea,161.0,46.0,F
Sojin,1991-11-10,9Muses,2010-12-08,Star Empire,South Korea,170.0,47.0,F
Sojin,1986-05-21,Girl's Day,2010-09-07,DreamT,South Korea,167.0,47.0,F
Solar,1991-02-21,Mamamoo,2014-06-18,RBW,South Korea,163.0,43.0,F
Solbin,1997-08-19,LABOUM,2014-08-27,NH,South Korea,169.0,52.0,F
Soobin,2000-05-12,TXT,2019-04-03,Big Hit,South Korea,184.0,65.0,M
Soojung,2001-10-05,Hi-L,2021-11-08,Kpop Live,South Korea,169.0,47.0,F
Sooyoung,1990-10-02,SNSD,2021-04-08,Good Luck,South Korea,170.0,48.0,F
Soyeon,1998-08-26,(G)I-DLE,2018-02-05,Cube,South Korea,157.0,42.0,F
Soyeon,1994-04-05,LABOUM,2014-08-27,NH,South Korea,161.0,44.0,F
St. Van,1991-12-22,VAV,2015-10-31,A team,South Korea,182.0,70.0,M
Steven,2000-01-17,Luminous,2021-09-09,Barunson,South Korea,176.0,57.0,M
Sua,2003-02-24,Pixy,2021-02-24,ALLART,South Korea,162.0,44.0,F
Suga,1993-09-03,BTS,2013-06-13,Big Hit,South Korea,176.0,59.0,M
Suho,1991-05-22,EXO,2012-08-04,SM,South Korea,173.0,65.0,M
Suhye,2004-12-13,LIMELIGHT,2023-02-17,143,South Korea,158.0,40.0,F
Suhyeon,2000-01-15,Billlie,2021-10-11,MYSTIC,South Korea,161.0,45.0,F
Suil,1999-03-30,Luminous,2021-09-09,Barunson,South Korea,170.0,50.0,M
Sujeong,1997-11-19,Lovelyz,2014-11-17,Woollim,South Korea,168.0,48.0,F
Sukjun,2000-01-31,ABLUE,2022-10-23,J-Star,South Korea,183.0,65.0,M
Sumin,2001-09-09,Dreamnote,2018-07-11,iME,South Korea,166.0,46.0,F
Sumin,2001-03-13,STAYC,2020-12-11,Hi-Up,South Korea,159.0,46.0,F
Sungah,1989-08-07,9Muses,2010-12-08,Star Empire,South Korea,172.0,48.0,F
Sunghyun,1996-03-16,IN2IT,2016-01-27,Star Empire,South Korea,186.0,71.0,M
Sungjae,1995-02-05,BtoB,2012-03-21,Cube,South Korea,180.0,68.0,M
Sungjong,1993-03-09,Infinite,2010-09-06,Woollim,South Korea,177.0,54.0,M
Sungjoo,1994-02-16,UNIQ,2014-10-20,Yuehua,South Korea,180.0,65.0,M
Sungjun,1992-12-17,Boys Republic,2013-03-06,Happy Tribe,South Korea,175.0,55.0,M
Sungkyu,1989-04-28,Infinite,2010-09-06,Woollim,South Korea,178.0,62.0,M
Sungmin,1986-01-01,Super Junior,2005-06-11,SM,South Korea,175.0,57.0,M
Sungyeol,1991-08-27,Infinite,2010-09-06,Woollim,South Korea,183.0,59.0,M
Sunny,1989-05-15,SNSD,2021-04-08,Good Luck,South Korea,158.0,43.0,F
Sunwoo,1992-12-03,Boys Republic,2013-03-06,Happy Tribe,South Korea,183.0,65.0,M
Sunwoo,2000-12-04,The Boyz,2017-12-31,Cre.Ker,South Korea,177.0,64.0,M
Suwoong,1995-01-20,Boys Republic,2013-03-06,Happy Tribe,South Korea,174.0,56.0,M
Suyun,2001-03-17,Rocket Punch,2019-07-08,Woollim,South Korea,169.0,52.0,F
Suzy,2001-03-06,MAJORS,2021-09-03,ANS,South Korea,164.0,45.0,F
T.O.P,1987-04-11,BIGBANG,2006-08-19,YG,South Korea,180.0,65.0,M
Taecyeon,1988-12-27,2PM,2008-04-07,JYP,South Korea,185.0,76.0,M
Taedong,1997-07-11,OMEGA X,2016-10-17,JT Corea,South Korea,177.0,61.0,M
Taeil,1990-09-24,Block B,2011-04-15,KQ,South Korea,167.0,57.0,M
Taeil,1994-06-14,NCT,2016-09-04,SM,South Korea,171.0,60.0,M
Taekhyeon,2003-07-28,1the9,2019-09-02,MBK,South Korea,178.0,66.0,M
Taemin,1993-07-18,SHINee,2008-05-25,SM,South Korea,177.0,53.0,M
Taeyang,1988-05-18,BIGBANG,2006-08-19,YG,South Korea,174.0,56.0,M
Taeyeon,1989-09-03,SNSD,2021-04-08,Good Luck,South Korea,160.0,44.0,F
TAG,2002-09-30,Ciipher,2021-03-15,Rain,South Korea,176.0,54.0,M
Takuya,1992-03-18,CROSS GENE,2012-08-07,Amuse,Japan,187.0,68.0,M
Tan,1996-08-25,Ciipher,2021-03-15,Rain,South Korea,184.0,75.0,M
Teo,1997-10-22,DKB,2020-03-02,Brave,South Korea,177.0,64.0,M
The8,1997-07-11,Seventeen,2015-05-26,Pledis,China,175.0,53.0,M
Tiffany,1989-01-08,SNSD,2021-04-08,Good Luck,South Korea,163.0,50.0,F
U-Kwon,1992-09-04,Block B,2011-04-15,KQ,South Korea,176.0,63.0,M
V,1995-12-30,BTS,2013-06-13,Big Hit,South Korea,179.0,62.0,M
Vahn,1999-07-05,NINE.i,2022-03-30,FirstOne,South Korea,175.0,58.0,M
Vernon,1998-02-18,Seventeen,2015-05-26,Pledis,USA,176.0,56.0,M
Via,2000-08-17,FANATICS,2019-06-08,FENT,South Korea,165.0,46.0,F
Victoria,1987-02-02,f(x),2009-05-09,SM,China,168.0,45.0,F
Vita,2000-03-02,MAJORS,2021-09-03,ANS,South Korea,168.0,54.0,F
Wenhan,1994-07-22,UNIQ,2014-10-20,Yuehua,China,180.0,64.0,M
Wheein,1995-04-17,Mamamoo,2014-06-18,RBW,South Korea,162.0,43.0,F
WinL,1996-06-16,ABLUE,2022-10-23,J-Star,South Korea,177.0,68.0,M
Wish,2002-11-06,EPEX,2021-08-06,C9,South Korea,184.0,69.0,M
Won,2003-12-18,Ciipher,2021-03-15,Rain,South Korea,177.0,58.0,M
Won Hyuk,2002-02-22,E'LAST,2020-09-06,E Entertainment,South Korea,181.0,63.0,M
Wondae,1998-04-28,Dongkiz,2019-04-24,Dongyo,South Korea,180.0,63.0,M
Wonjin,2001-03-22,CRAVITY,2020-04-14,Starship,South Korea,174.0,57.0,M
Wonjun,1998-07-21,ABLUE,2022-10-23,J-Star,South Korea,187.0,73.0,M
Wonwoo,1996-07-17,Seventeen,2015-05-26,Pledis,South Korea,180.0,57.0,M
Woohyun,1991-08-02,Infinite,2010-09-06,Woollim,South Korea,176.0,52.0,M
Woojin,2003-07-04,Ghost9,2020-09-23,Maroo,South Korea,178.0,65.0,M
Woori,1988-02-22,Rainbow,2009-12-11,DSP,South Korea,165.0,44.0,F
Wooyoung,1989-04-30,2PM,2008-04-07,JYP,South Korea,178.0,65.0,M
Woozi,1996-11-22,Seventeen,2015-05-26,Pledis,South Korea,165.0,54.0,M
Xiumin,1990-03-26,EXO,2012-08-04,SM,South Korea,173.0,65.0,M
Xiyeon,2000-11-14,Pristin,2017-03-21,Pledis,South Korea,164.0,51.0,F
Yebin,1997-07-13,DIA,2015-07-14,MBK,South Korea,164.0,43.0,F
Yechan,2001-05-14,OMEGA X,2016-10-17,JT Corea,South Korea,183.0,64.0,M
Yechan,1995-11-26,Pink Fantasy,2018-10-28,My Doll,South Korea,159.0,45.0,F
Yehyeon,1999-12-09,GIDONGDAE,2013-03-04,Simtong,South Korea,176.0,63.0,M
Yejun,2002-08-23,E'LAST,2020-09-06,E Entertainment,South Korea,178.0,58.0,M
Yeonjun,1999-09-13,TXT,2019-04-03,Big Hit,South Korea,183.0,63.0,M
Yeonjung,1999-03-08,WJSN,2016-02-25,Starship,South Korea,167.0,52.0,F
Yeonseo,2004-09-26,We;Na,2022-05-09,Shine E&M,South Korea,158.0,45.0,F
Yeontae,1992-06-07,IN2IT,2016-01-27,Star Empire,South Korea,178.0,58.0,M
Yeoreum,1996-04-06,Hello Venus,2012-09-05,Fantagio,South Korea,167.0,48.0,F
Yeowool,1998-11-04,Purplebeck,2019-06-24,Majesty,South Korea,163.0,46.0,F
Yerim,1997-10-03,Purplebeck,2019-06-24,Majesty,South Korea,165.0,44.0,F
Yeryung,2002-06-22,Lusty,2019-06-26,babaplay,South Korea,169.0,49.0,F
Yesung,1984-08-24,Super Junior,2005-06-11,SM,South Korea,178.0,64.0,M
Yewang,2005-12-03,EPEX,2021-08-06,C9,South Korea,180.0,64.0,M
Yibo,1997-05-08,UNIQ,2014-10-20,Yuehua,China,182.0,65.0,M
Yijeong,1993-10-09,HISTORY,2013-04-26,LOEN,South Korea,173.0,58.0,M
Yixuan,1990-11-12,UNIQ,2014-10-20,Yuehua,China,183.0,65.0,M
Yohan,1999-09-22,WEi,2020-05-10,OUI,South Korea,181.0,66.0,M
Yonggeun,1995-01-23,D1CE,2019-01-08,Happyface,South Korea,174.0,54.0,M
Yongguk,1990-03-31,B.A.P,2012-01-27,TS,South Korea,182.0,60.0,M
Yongha,1999-11-01,WEi,2020-05-10,OUI,South Korea,177.0,64.0,M
Yonghee,2000-02-17,CIX,2019-07-23,C9,South Korea,177.0,59.0,M
Yongseok,1993-08-01,CROSS GENE,2012-08-07,Amuse,South Korea,176.0,64.0,M
Yooa,1995-09-17,Oh My Girl,2015-04-21,WM,South Korea,160.0,50.0,F
Yoon,2004-04-14,STAYC,2020-12-11,Hi-Up,South Korea,171.0,49.0,F
Yoona,1990-05-30,SNSD,2021-04-08,Good Luck,South Korea,166.0,47.0,F
Yoonhye,1990-04-14,Rainbow,2009-12-11,DSP,South Korea,166.0,47.0,F
Yoonji,1998-07-21,Lusty,2019-06-26,babaplay,South Korea,163.0,45.0,F
Yoonsung,2003-11-13,8TURN,2023-01-30,MNH,South Korea,177.0,62.0,M
Yooyeon,2001-09-02,tripleS,2023-02-13,MODHAUS,South Korea,164.0,46.0,F
Yooyoung,1995-01-23,Hello Venus,2012-09-05,Fantagio,South Korea,170.0,49.0,F
Yoseob,1990-05-01,Highlight,2009-10-14,Around Us,South Korea,171.0,56.0,M
Yoshi,2000-05-15,Treasure,2020-07-08,YG,Japan,179.0,59.0,M
You,1999-11-17,ABLUE,2022-10-23,J-Star,South Korea,178.0,70.0,M
Youi,2000-04-24,Dreamnote,2018-07-11,iME,South Korea,163.0,45.0,F
Youngbin,1998-05-10,Luminous,2021-09-09,Barunson,South Korea,172.0,55.0,M
Younghoon,1997-08-08,The Boyz,2017-12-31,Cre.Ker,South Korea,182.0,63.0,M
Youngjae,1994-01-24,B.A.P,2012-01-27,TS,South Korea,178.0,65.0,M
Youngjae,1996-09-17,GOT7,2014-01-16,JYP,South Korea,175.0,59.0,M
Yubin,1998-11-26,ARTBEAT,2022-11-16,AB Creative,South Korea,162.0,47.0,F
Yubin,2002-02-27,Bling Bling,2020-11-17,Major9,South Korea,166.0,47.0,F
Yubin,1997-09-09,Oh My Girl,2015-04-21,WM,South Korea,161.0,49.0,F
Yue,2004-03-07,Lapillus,2022-06-22,MLD,USA,163.0,48.0,F
Yugyeom,1997-11-17,GOT7,2014-01-16,JYP,South Korea,180.0,64.0,M
Yuha,1997-05-11,Hinapia,2019-03-11,Alseulbit,South Korea,170.0,50.0,F
Yujeong,2004-06-14,LIGHTSUM,2021-10-06,Cube,South Korea,160.0,41.0,F
Yuji,1998-11-25,3YE,2019-05-21,GH,South Korea,160.0,45.0,F
Yuki,2002-01-30,Saturday,2018-07-18,SD,South Korea,161.0,44.0,F
Yuku,2002-12-05,DKB,2020-03-02,Brave,Japan,176.0,55.0,M
Yuna,1992-12-30,AoA,2012-07-30,FNC,South Korea,163.0,45.0,F
Yungyu,2005-07-11,8TURN,2023-01-30,MNH,South Korea,175.0,62.0,M
Yunjin,2001-08-10,LE SSERAFIM,2022-02-05,Source,South Korea,171.0,53.0,F
Yunseong,2000-10-30,DRIPPIN,2020-10-26,Woollim,South Korea,181.0,60.0,M
Yuqi,1999-09-23,(G)I-DLE,2018-02-05,Cube,China,162.0,48.0,F
Yura,1992-06-11,Girl's Day,2010-09-07,DreamT,South Korea,168.0,49.0,F
Yuri,1989-05-12,SNSD,2021-04-08,Good Luck,South Korea,167.0,45.0,F
Zelo,1996-10-15,B.A.P,2012-01-27,TS,South Korea,182.0,63.0,M
Zhou Mi,1986-04-19,Super Junior-M,2005-06-11,SM,China,184.0,64.0,M
Zico,1992-09-14,Block B,2011-04-15,KQ,South Korea,182.0,65.0,M
Ziu,1997-06-16,VAV,2015-10-31,A team,South Korea,185.0,70.0,M
ZN,1994-09-06,LABOUM,2014-08-27,NH,South Korea,169.0,48.0,F
